,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma30,ma5,ma30_rank,ma30_rank_standard,ma5_rank,ma5_rank_standard
4014,000002.SZ,20031229,0.801,0.8134,0.7887,0.7912,0.8047,-0.0134999999999999,-1.6776,84977.55,55096.3669,0.7484499999999997,0.7948799999999979,5.0,1.0,5.0,1.0
4013,000002.SZ,20031230,0.7887,0.8035,0.7887,0.7949,0.7912,0.0037,0.4676,47378.17,30676.7137,0.751163333333333,0.798579999999998,5.0,1.0,5.0,1.0
4012,000002.SZ,20031231,0.7961,0.8232,0.7949,0.806,0.7949,0.0110999999999999,1.3964,172883.6,114142.9753,0.754123333333333,0.8005599999999979,5.0,1.0,5.0,1.0
4011,000002.SZ,20040102,0.801,0.8565,0.7973,0.8466,0.806,0.0405999999999999,5.0372,219068.73,149457.2742,0.7581066666666664,0.8086799999999978,5.0,1.0,5.0,1.0
4010,000002.SZ,20040105,0.8503,0.907,0.8491,0.9008,0.8466,0.0542,6.4021,495758.58,358388.268,0.7640199999999997,0.8278999999999979,5.0,1.0,5.0,1.0
4009,000002.SZ,20040106,0.9008,0.9218,0.891,0.9095,0.9008,0.0086999999999999,0.9658,312158.4,228720.7211,0.7696499999999997,0.8515599999999978,5.0,1.0,5.0,1.0
4008,000002.SZ,20040107,0.9095,0.9403,0.8959,0.9243,0.9095,0.0148,1.6273,283585.62,212141.1473,0.7756066666666663,0.8774399999999977,5.0,1.0,5.0,1.0
4007,000002.SZ,20040108,0.9218,0.9427,0.9193,0.9255,0.9243,0.0011999999999999,0.1298,241406.5,182786.4312,0.7818099999999997,0.9013399999999976,5.0,1.0,5.0,1.0
4006,000002.SZ,20040109,0.9243,0.9329,0.8873,0.8885,0.9255,-0.037,-3.9978,334103.28,246249.9929,0.787313333333333,0.9097199999999976,5.0,1.0,5.0,1.0
4005,000002.SZ,20040112,0.8848,0.9292,0.8811,0.9267,0.8885,0.0382,4.2994,156879.92,114901.6064,0.7939266666666662,0.9148999999999976,5.0,1.0,5.0,1.0
4004,000002.SZ,20040113,0.9304,0.9366,0.9058,0.9095,0.9267,-0.0171999999999999,-1.856,184103.72,137374.637,0.7993899999999996,0.9148999999999976,5.0,1.0,4.5,0.75
4003,000002.SZ,20040114,0.9082,0.9354,0.8972,0.9267,0.9095,0.0171999999999999,1.8911,190272.35,141185.1394,0.805673333333333,0.9153799999999975,5.0,1.0,5.0,1.0
4002,000002.SZ,20040115,0.9267,0.9896,0.9243,0.9612,0.9267,0.0345,3.7229,357478.29,280632.2697,0.8130666666666664,0.9225199999999976,5.0,1.0,5.0,1.0
4001,000002.SZ,20040116,0.9723,0.997,0.9551,0.9785,0.9612,0.0172999999999999,1.7998,232927.75,185853.3084,0.8205433333333331,0.9405199999999976,5.0,1.0,5.0,1.0
4000,000002.SZ,20040129,0.9822,1.0241,0.981,1.0093,0.9785,0.0308,3.1477,214614.55,176313.237,0.8294566666666664,0.9570399999999977,5.0,1.0,5.0,1.0
3999,000002.SZ,20040130,1.013,1.0142,0.9662,0.9674,1.0093,-0.0419,-4.1514,227540.88,181181.4824,0.8370566666666664,0.9686199999999976,5.0,1.0,5.0,1.0
3998,000002.SZ,20040202,1.0019,1.0192,0.9612,0.9625,0.9674,-0.0049,-0.5065,251073.92,200634.7089,0.8442866666666664,0.9757799999999976,5.0,1.0,5.0,1.0
3997,000002.SZ,20040203,0.9637,0.9846,0.9538,0.9822,0.9625,0.0196999999999999,2.0468,114481.74,90298.4113,0.852133333333333,0.9799799999999976,5.0,1.0,5.0,1.0
3996,000002.SZ,20040204,0.9859,1.0216,0.9846,1.0105,0.9822,0.0282999999999999,2.8813,245828.07,201564.2841,0.8606366666666663,0.9863799999999976,5.0,1.0,5.0,1.0
3995,000002.SZ,20040205,1.0093,1.0105,0.9797,0.9908,1.0105,-0.0196999999999999,-1.9495,161880.01,130503.2349,0.8685633333333329,0.9826799999999976,5.0,1.0,4.0,0.5
3994,000002.SZ,20040206,0.9859,0.9871,0.9612,0.9711,0.9908,-0.0197,-1.9883,162619.12,128677.3058,0.8756699999999996,0.9834199999999976,5.0,1.0,4.0,0.5
3993,000002.SZ,20040209,0.9711,1.0118,0.9699,0.992,0.9711,0.0209,2.1522,202120.03,162601.4304,0.883883333333333,0.9893199999999975,5.0,1.0,5.0,1.0
3992,000002.SZ,20040210,0.992,1.0684,0.992,1.0327,0.992,0.0406999999999999,4.1028,524270.43,437371.3248,0.8936999999999996,0.9994199999999976,5.0,1.0,5.0,1.0
3991,000002.SZ,20040211,1.0265,1.0278,0.9982,1.0192,1.0327,-0.0134999999999998,-1.3073,223216.33,183337.228,0.9033966666666663,1.0011599999999976,5.0,1.0,5.0,1.0
3990,000002.SZ,20040212,1.0192,1.0327,0.9982,1.0192,1.0192,0.0,0.0,152955.77,126040.4306,0.912723333333333,1.0068399999999975,5.0,1.0,5.0,1.0
3989,000002.SZ,20040213,1.0155,1.0623,1.0056,1.0327,1.0192,0.0134999999999998,1.3246,288765.21,243219.6239,0.9220899999999996,1.0191599999999976,5.0,1.0,5.0,1.0
3988,000002.SZ,20040216,1.0352,1.0721,1.0352,1.0697,1.0327,0.0370000000000001,3.5828,229635.38,197691.5411,0.9318666666666664,1.0346999999999977,5.0,1.0,5.0,1.0
3987,000002.SZ,20040217,1.0721,1.0783,1.0537,1.0574,1.0697,-0.0123000000000002,-1.1499,189909.19,163796.8564,0.9405766666666665,1.0396399999999975,5.0,1.0,5.0,1.0
3986,000002.SZ,20040218,1.0574,1.0672,1.0475,1.0561,1.0574,-0.0012999999999998,-0.1229,156888.28,134671.6693,0.9489133333333332,1.0470199999999976,5.0,1.0,5.0,1.0
3985,000002.SZ,20040219,1.0537,1.0672,1.029,1.0352,1.0561,-0.0209000000000001,-1.979,171681.72,144972.7324,0.9565966666666664,1.0502199999999973,5.0,1.0,5.0,1.0
3984,000002.SZ,20040220,1.0352,1.0475,1.0167,1.0376,1.0352,0.0024000000000001,0.2318,123107.62,102909.184,0.9648099999999998,1.0511999999999975,5.0,1.0,5.0,1.0
3983,000002.SZ,20040223,1.0352,1.0426,0.9871,0.9945,1.0376,-0.0431,-4.1538,246728.44,202355.7621,0.9714633333333331,1.0361599999999975,5.0,1.0,1.0,-1.0
3982,000002.SZ,20040224,0.9896,1.0007,0.9846,1.0007,0.9945,0.0061999999999998,0.6234,173927.83,139922.0278,0.9779533333333331,1.0248199999999976,5.0,1.0,1.0,-1.0
3981,000002.SZ,20040225,1.0019,1.0155,0.976,0.9871,1.0007,-0.0135999999999999,-1.359,128807.09,104328.5898,0.9826366666666665,1.0110199999999976,5.0,1.0,1.0,-1.0
3980,000002.SZ,20040226,0.9859,0.9945,0.9797,0.9896,0.9871,0.0025,0.2533,122381.67,97906.5162,0.9855966666666665,1.0018999999999978,5.0,1.0,1.0,-1.0
3979,000002.SZ,20040227,0.9896,1.0093,0.9896,1.0056,0.9896,0.016,1.6168,94478.95,76702.3672,0.9887999999999998,0.9954999999999977,5.0,1.0,1.0,-1.0
3978,000002.SZ,20040301,1.0081,1.0487,1.0044,1.0352,1.0056,0.0295999999999998,2.9435,192054.34,160718.0432,0.9924966666666665,1.0036399999999976,5.0,1.0,3.0,0.0
3977,000002.SZ,20040302,1.0352,1.0487,1.0118,1.0167,1.0352,-0.0184999999999999,-1.7871,140507.49,117185.8379,0.9955366666666665,1.0068399999999977,5.0,1.0,4.0,0.5
3976,000002.SZ,20040303,1.0167,1.0253,0.9982,0.9994,1.0167,-0.0172999999999999,-1.7016,87757.19,71832.6971,0.9992333333333332,1.0092999999999976,5.0,1.0,5.0,1.0
3975,000002.SZ,20040304,0.9982,1.0093,0.9883,1.0056,0.9994,0.0062,0.6204,95145.91,77012.1658,1.0018633333333333,1.0124999999999977,5.0,1.0,5.0,1.0
3974,000002.SZ,20040305,1.0044,1.0155,0.9957,1.0081,1.0056,0.0024999999999999,0.2486,68321.66,55752.4541,1.0051499999999998,1.0129999999999977,5.0,1.0,5.0,1.0
3973,000002.SZ,20040308,1.0118,1.013,0.9822,0.9834,1.0081,-0.0246999999999999,-2.4502,84622.28,68092.1962,1.0070399999999997,1.0026399999999978,5.0,1.0,1.0,-1.0
3972,000002.SZ,20040309,1.0044,1.0204,0.9859,0.9982,0.9834,0.0147999999999999,1.505,168358.86,137572.8644,1.0082733333333331,0.9989399999999977,5.0,1.0,1.0,-1.0
3971,000002.SZ,20040310,0.9982,1.0118,0.9908,1.0093,0.9982,0.0111000000000001,1.112,108528.91,88307.1381,1.0092999999999999,1.0009199999999976,5.0,1.0,2.0,-0.5
3970,000002.SZ,20040311,1.0105,1.0364,1.0081,1.0327,1.0093,0.0233999999999998,2.3184,196911.13,163374.7547,1.0100799999999996,1.0063399999999976,5.0,1.0,4.0,0.5
3969,000002.SZ,20040312,1.0327,1.0352,1.0142,1.0339,1.0327,0.0012,0.1162,103116.45,85697.4919,1.0122966666666664,1.0114999999999976,5.0,1.0,5.0,1.0
3968,000002.SZ,20040315,1.0339,1.0549,1.0302,1.0475,1.0339,0.0136,1.3154,242415.34,206211.4802,1.0151299999999996,1.024319999999998,5.0,1.0,5.0,1.0
