,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma30,ma30_rank,ma30_rank_standard,signal,close5v,close10v,close20v,close30v
682,300022.SZ,20180711,3.88,3.91,3.71,3.74,3.93,-0.1899999999999999,-4.8346,107769.64,41007.974,3.875999999999956,3.8299999999999708,3.8169999999999944,4.003333333333334,1.0,-1.0,-1.0,11.764705882352942,11.711229946524062,11.016042780748663,12.245989304812834
681,300022.SZ,20180712,3.75,4.11,3.75,4.11,3.74,0.3700000000000001,9.893,125041.33,49649.083,3.967999999999956,3.8699999999999704,3.8164999999999942,4.000666666666667,1.0,-1.0,-1.0,10.316301703163017,10.46228710462287,10.729927007299269,10.997566909975667
680,300022.SZ,20180713,4.18,4.24,4.02,4.05,4.11,-0.0600000000000005,-1.4599,178668.51,73620.716,3.9739999999999562,3.89199999999997,3.811499999999994,3.994,1.0,-1.0,-1.0,10.493827160493828,10.543209876543209,10.716049382716049,10.938271604938272
679,300022.SZ,20180716,4.1,4.26,4.05,4.12,4.05,0.0700000000000002,1.7284,168047.1,70087.575,3.9899999999999567,3.92999999999997,3.817499999999994,3.975333333333334,1.0,-1.0,-1.0,10.29126213592233,9.95145631067961,10.315533980582522,10.776699029126213
678,300022.SZ,20180717,4.09,4.5,4.01,4.33,4.12,0.2099999999999999,5.0971,205364.73,87386.214,4.069999999999956,3.97999999999997,3.850999999999994,3.9666666666666672,1.0,-1.0,-1.0,10.323325635103926,9.815242494226329,10.0,10.207852193995382
677,300022.SZ,20180718,4.25,4.5,4.2,4.4,4.33,0.0700000000000002,1.6166,194725.96,84037.241,4.2019999999999555,4.0389999999999695,3.8849999999999945,3.963333333333334,1.0,-1.0,-1.0,9.954545454545453,9.431818181818182,9.727272727272727,9.886363636363635
676,300022.SZ,20180719,4.32,4.38,4.22,4.24,4.4,-0.1600000000000001,-3.6364,103405.14,44316.624,4.227999999999956,4.09799999999997,3.917499999999994,3.958,1.0,-1.0,-1.0,10.141509433962263,10.212264150943396,10.117924528301888,9.787735849056604
675,300022.SZ,20180720,4.24,4.27,4.15,4.25,4.24,0.0099999999999997,0.2358,78119.0,32882.141,4.267999999999956,4.120999999999969,3.946499999999994,3.955666666666667,1.0,-1.0,-1.0,10.047058823529412,9.647058823529411,10.329411764705883,9.576470588235296
674,300022.SZ,20180723,4.22,4.27,4.18,4.24,4.25,-0.0099999999999997,-0.2353,68147.0,28776.596,4.291999999999956,4.14099999999997,3.9774999999999934,3.955333333333334,1.0,-1.0,-1.0,9.669811320754715,9.81132075471698,10.566037735849056,9.669811320754715
673,300022.SZ,20180724,4.21,4.56,4.18,4.47,4.24,0.2299999999999995,5.4245,198261.71,86680.195,4.319999999999956,4.19499999999997,4.012999999999993,3.9610000000000003,4.0,1.0,1.0,9.507829977628635,9.395973154362418,9.843400447427294,9.060402684563758
672,300022.SZ,20180725,4.42,4.42,4.3,4.38,4.47,-0.0899999999999998,-2.0134,146774.62,63880.935,4.315999999999956,4.25899999999997,4.044499999999993,3.9643333333333337,4.0,1.0,1.0,9.47488584474886,9.406392694063928,10.45662100456621,9.04109589041096
671,300022.SZ,20180726,4.23,4.34,4.18,4.3,4.38,-0.08,-1.8265,102296.43,43616.796,4.327999999999957,4.277999999999969,4.073999999999993,3.9703333333333335,4.0,1.0,1.0,10.069767441860467,10.255813953488373,10.511627906976743,9.395348837209303
