,date,lable,text
1299,20150507,1.1685356841900525,1.7614285714285713
1298,20150508,1.2075944487278296,1.8330955777460771
1297,20150511,1.2351195225481084,1.8497191011235954
1296,20150512,1.2411826219222322,1.8581460674157304
1295,20150513,1.221063246462669,1.8207282913165266
1294,20150514,1.2295158722726813,1.8741258741258742
1293,20150515,1.2359578272396539,1.9100817438692097
1292,20150518,1.25718966144885,2.1298342541436464
1291,20150519,1.2758754515329698,2.076923076923077
1290,20150520,1.3093142272261995,2.2178619756427604
1289,20150521,1.3424759505267951,2.3711484593837535
1288,20150522,1.3847441082136356,2.5471956224350207
1287,20150525,1.4126257013525576,2.6144578313253013
1286,20150526,1.4441718762364462,2.6060606060606064
1285,20150527,1.468797291404825,2.8153214774281805
1284,20150528,1.459878168007819,2.4248366013071894
1283,20150529,1.4145394688352186,2.2519280205655527
1282,20150601,1.3729155653803617,2.3354037267080745
1281,20150602,1.3388639514934992,2.3838630806845966
1280,20150603,1.2996832392232451,2.2222222222222223
1279,20150604,1.2798202247190988,2.195402298850575
1278,20150605,1.2904741000877944,2.3318233295583237
1277,20150608,1.2906909604157293,2.5087924970691677
1276,20150609,1.2727044656297024,2.385245901639345
1275,20150610,1.2491509472564324,2.3938679245283017
1274,20150611,1.246708024814887,2.499409681227863
1273,20150612,1.2347040534991476,2.6699029126213594
1272,20150615,1.21954674220963,2.732273838630807
1271,20150616,1.199071890739656,2.5404040404040407
1270,20150617,1.1818130977014694,2.4838709677419355
1269,20150618,1.1351740164886832,2.313299232736573
1268,20150619,1.0651369084710955,2.079182630906769
1267,20150623,0.9897155361050314,2.104221635883905
1266,20150624,0.9429193109700799,2.0855683269476373
1265,20150625,0.8897111913357386,1.9795657726692208
1264,20150626,0.8440357046253701,1.7394014962593516
1263,20150629,0.8059086224665047,1.568039950062422
1262,20150630,0.7792985768225367,1.6450809464508096
1261,20150701,0.7356132851035826,1.5050632911392405
1260,20150702,0.6901733463789234,1.325898389095415
1259,20150715,0.6702466856855156,1.4085365853658538
1258,20150716,0.661899897854952,1.305952380952381
1257,20150717,0.6567124076384203,1.4326923076923077
1256,20150720,0.6694065172084667,1.4822954822954824
1255,20150721,0.7034736508941266,1.5419198055893073
1254,20150722,0.7387858583035531,1.8272251308900525
1253,20150723,0.7834997689324658,1.861799217731421
1252,20150724,0.8105538967765501,1.7431906614785992
1251,20150727,0.8224279792959784,1.5755208333333333
1250,20150728,0.8168925307280152,1.427461139896373
1249,20150729,0.8030719999999976,1.508238276299113
1248,20150730,0.7778939116801648,1.3679012345679014
1247,20150731,0.763300953569198,1.3613861386138615
1246,20150803,0.7523776941498432,1.1796690307328606
1245,20150804,0.7680369127516751,1.2726218097447797
1244,20150805,0.77541280901021,1.2203947368421055
1243,20150806,0.7957758557322393,1.2387892376681615
1242,20150807,0.8289652397001832,1.2924424972617743
1241,20150810,0.8817055337489387,1.4139908256880733
1240,20150811,0.9218692762572576,1.449766355140187
1239,20150812,0.9453006468098663,1.3472706155632985
1238,20150813,0.971270093432776,1.2650475184794086
1237,20150814,0.9887958229087315,1.2429149797570849
1236,20150817,1.004888766822298,1.3550106609808101
1235,20150818,1.0000555493833982,1.2080253431890178
1234,20150819,1.0049500797046693,1.337995337995338
1233,20150820,0.988614320654462,1.192865105908584
1232,20150821,0.9590945194598851,1.0151975683890577
1231,20150824,0.9036465036464999,0.8740310077519379
1230,20150825,0.8529691416717051,0.7830279652844744
1229,20150826,0.7905375842254141,0.712475633528265
1228,20150827,0.7431281854874311,0.7487636003956479
1227,20150828,0.7194638868205473,0.7410071942446044
1226,20150831,0.7008820686321857,0.6760691537761601
1225,20150901,0.688076781100033,0.5987544483985765
1224,20150902,0.6852551984877087,0.6061776061776062
1223,20150907,0.6851720353753752,0.6693306693306693
1222,20150908,0.6797523382953455,0.7145669291338582
1221,20150909,0.6928554712313154,0.7524850894632207
1220,20150910,0.7183441558441517,0.8065887353878852
1219,20150911,0.755766062602961,0.7895833333333334
1218,20150914,0.7694879832810823,0.7294117647058824
1217,20150915,0.7589285714285668,0.6710382513661202
1216,20150916,0.7500806422708819,0.703125
1215,20150917,0.7432584883001518,0.6873727087576375
1214,20150918,0.7425193941632757,0.740273396424816
1213,20150921,0.7651112276233942,0.7840425531914893
1212,20150922,0.8061236147606484,0.7637305699481866
1211,20150923,0.8348798384905025,0.7187807276302851
1210,20150924,0.8725676317038392,0.7796954314720812
1209,20150925,0.895172968624291,0.7540983606557378
1208,20150928,0.9170863530278782,0.7617617617617618
1207,20150929,0.9375939849624005,0.7933972310969116
1206,20150930,0.9577223955884182,0.7494824016563147
1205,20151008,0.9738042486641414,0.7825203252032521
