,基金代码,基金简称,类型,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,增长值,增长率,市价,折价率
52,510660,华夏医药ETF行情,指数型-股票,3.7325,3.7325,3.7125,3.7125,0.0200,0.54%,3.7320,0.01%
53,159948,南方创业板ETF行情,指数型-股票,3.7081,1.8222,3.7360,1.8359,-0.0279,-0.75%,3.7080,0.00%
54,518880,华安黄金易ETF行情,商品（不含QDII）,3.6966,1.3959,3.6884,1.3928,0.0082,0.22%,3.6920,0.12%
55,159937,博时黄金ETF行情,商品（不含QDII）,3.6957,1.4511,3.6874,1.4479,0.0083,0.23%,3.6920,0.10%
56,159934,易方达黄金ETF行情,商品（不含QDII）,3.6655,1.4933,3.6574,1.4900,0.0081,0.22%,3.6600,0.15%
57,518800,国泰黄金ETF行情,商品（不含QDII）,3.6604,1.3846,3.6523,1.3816,0.0081,0.22%,3.6590,0.04%
58,512500,华夏中证500ETF行情,指数型-股票,3.6049,0.7891,3.6362,0.7959,-0.0313,-0.86%,3.6120,-0.20%
59,515530,泰康中证500ETF行情,指数型-股票,3.5388,1.1058,3.5686,1.1151,-0.0298,-0.84%,3.5410,-0.06%
60,159977,天弘创业板ETF行情,指数型-股票,3.5235,2.0780,3.5501,2.0936,-0.0266,-0.75%,3.5250,-0.04%
61,510020,博时上证超大盘ETF行情,指数型-股票,3.5146,1.2963,3.5752,1.3186,-0.0606,-1.70%,3.5540,-1.12%
62,510850,工银瑞信上证50ETF行情,指数型-股票,3.4482,1.4381,3.5016,1.4604,-0.0534,-1.53%,3.4480,0.01%
63,159915,易方达创业板ETF行情,指数型-股票,3.3813,3.8736,3.4068,3.9028,-0.0255,-0.75%,3.3820,-0.02%
64,510050,华夏上证50ETF行情,指数型-股票,3.3710,4.6360,3.4240,4.6990,-0.0530,-1.55%,3.3680,0.09%
65,510680,万家上证50ETF行情,指数型-股票,3.1721,3.1721,3.2208,3.2208,-0.0487,-1.51%,3.1700,0.07%
66,159908,博时创业板ETF行情,指数型-股票,3.1002,3.1002,3.1234,3.1234,-0.0232,-0.74%,3.1000,0.01%
