,基金代码,拼音缩写,基金简称,基金类型,拼音全称
1324,001741,GFBFDSJJXHHA,广发百发大数据精选混合A,混合型-灵活,GUANGFABAIFADASHUJUJINGXUANHUNHEA
1325,001742,GFBFDSJJXHHE,广发百发大数据精选混合E,混合型-灵活,GUANGFABAIFADASHUJUJINGXUANHUNHEE
1326,001743,NAYXHBHH,诺安优选回报混合,混合型-灵活,NUOANYOUXUANHUIBAOHUNHE
1327,001744,NAJQHBHH,诺安进取回报混合,混合型-灵活,NUOANJINQUHUIBAOHUNHE
1328,001745,YFDRFLHPZHHI,易方达瑞富灵活配置混合I,混合型-灵活,YIFANGDARUIFULINGHUOPEIZHIHUNHEI
1329,001746,YFDRFLHPZHHE,易方达瑞富灵活配置混合E,混合型-灵活,YIFANGDARUIFULINGHUOPEIZHIHUNHEE
1330,001747,YFDRQLHPZHHI,易方达瑞祺灵活配置混合I,混合型-灵活,YIFANGDARUIQILINGHUOPEIZHIHUNHEI
1331,001748,YFDRQLHPZHHE,易方达瑞祺灵活配置混合E,混合型-灵活,YIFANGDARUIQILINGHUOPEIZHIHUNHEE
1332,001749,ZSZGJYGP,招商中国机遇股票,股票型,ZHAOSHANGZHONGGUOJIYUGUPIAO
1333,001750,JSCCJRSYZQA,景顺长城景瑞收益债券A,债券型-长债,JINGSHUNCHANGCHENGJINGRUISHOUYIZHAIQUANA
1334,001751,HSXYZQZQA,华商信用增强债券A,债券型-混合债,HUASHANGXINYONGZENGQIANGZHAIQUANA
1335,001752,HSXYZQZQC,华商信用增强债券C,债券型-混合债,HUASHANGXINYONGZENGQIANGZHAIQUANC
1336,001753,HTCXXXCYHH,红土创新新兴产业混合,混合型-灵活,HONGTUCHUANGXINXINXINGCHANYEHUNHE
