,基金代码,拼音缩写,基金简称,基金类型,拼音全称
229,000313,HAHS300ZQC,华安沪深300增强C,指数型-股票,HUAANHUSHEN300ZENGQIANGC
230,000314,ZSRFLHPZHHFQSA,招商瑞丰灵活配置混合发起式A,混合型-灵活,ZHAOSHANGRUIFENGLINGHUOPEIZHIHUNHEFAQISHIA
231,000319,TDTLZQA,泰达淘利债券A,债券型-长债,TAIDATAOLIZHAIQUANA
232,000320,TDTLZQC,泰达淘利债券C,债券型-长债,TAIDATAOLIZHAIQUANC
233,000322,NYHLJHZQA,农银汇理金汇债券A,债券型-长债,NONGYINHUILIJINHUIZHAIQUANA
234,000324,HRYDXJSYHBA,华润元大现金收益货币A,货币型,HUARUNYUANDAXIANJINSHOUYIHUOBIA
235,000325,HRYDXJSYHBB,华润元大现金收益货币B,货币型,HUARUNYUANDAXIANJINSHOUYIHUOBIB
236,000326,NFZXPCZGP,南方中小盘成长股票,股票型,NANFANGZHONGXIAOPANCHENGZHANGGUPIAO
237,000327,NFXLCHH,南方新蓝筹混合,混合型-偏股,NANFANGXINLANCHOUHUNHE
238,000328,STMGZXDLLHPZHH,上投摩根转型动力灵活配置混合,混合型-灵活,SHANGTOUMOGENZHUANXINGDONGLILINGHUOPEIZHIHUNHE
239,000329,PHFRDKZ,鹏华丰饶定开债,债券型-长债,PENGHUAFENGRAODINGKAIZHAI
240,000330,HTFXJBHBA,汇添富现金宝货币A,货币型,HUITIANFUXIANJINBAOHUOBIA
241,000331,ZJHBA,中加货币A,货币型,ZHONGJIAHUOBIA
242,000332,ZJHBC,中加货币C,货币型,ZHONGJIAHUOBIC
243,000333,CCWGSYZQA,长城稳固收益债券A,债券型-混合债,CHANGCHENGWENGUSHOUYIZHAIQUANA
244,000334,CCWGSYZQC,长城稳固收益债券C,债券型-混合债,CHANGCHENGWENGUSHOUYIZHAIQUANC
245,000335,AXYLXYC,安信永利信用C,债券型-长债,ANXINYONGLIXINYONGC
246,000336,NYYJJXHH,农银研究精选混合,混合型-灵活,NONGYINYANJIUJINGXUANHUNHE
247,000338,PHSZBLZQ,鹏华双债保利债券,债券型-混合债,PENGHUASHUANGZHAIBAOLIZHAIQUAN
248,000339,CCYLBJHH,长城医疗保健混合,混合型-偏股,CHANGCHENGYILIAOBAOJIANHUNHE
249,000341,JSXXSCC2QDII,嘉实新兴市场C2(QDII),QDII,JIASHIXINXINGSHICHANGC2QDII
250,000342,JSXXSCA1QDII,嘉实新兴市场A1(QDII),QDII,JIASHIXINXINGSHICHANGA1QDII
251,000343,HXCFBHBA,华夏财富宝货币A,货币型,HUAXIACAIFUBAOHUOBIA
252,000345,PHFRDKZ,鹏华丰融定开债,债券型-长债,PENGHUAFENGRONGDINGKAIZHAI
253,000346,JXAXHB6GYDKA,建信安心回报6个月定开A,债券型-长债,JIANXINANXINHUIBAO6GEYUEDINGKAIA
254,000347,JXAXHB6GYDKC,建信安心回报6个月定开C,债券型-长债,JIANXINANXINHUIBAO6GEYUEDINGKAIC
255,000351,GFHFDQZQA,国富恒丰定期债券A,债券型-混合债,GUOFUHENGFENGDINGQIZHAIQUANA
256,000352,GFHFDQZQC,国富恒丰定期债券C,债券型-混合债,GUOFUHENGFENGDINGQIZHAIQUANC
257,000354,CSCZHZTHH,长盛城镇化主题混合,混合型-偏股,CHANGSHENGCHENGZHENHUAZHUTIHUNHE
258,000355,NFFYXYZQZQA,南方丰元信用增强债券A,债券型-混合债,NANFANGFENGYUANXINYONGZENGQIANGZHAIQUANA
259,000356,NFFYXYZQZQC,南方丰元信用增强债券C,债券型-混合债,NANFANGFENGYUANXINYONGZENGQIANGZHAIQUANC
260,000359,YFDYLCHBA,易方达易理财货币A,货币型,YIFANGDAYILICAIHUOBIA
261,000362,GTJXJZYSHHA,国泰聚信价值优势混合A,混合型-灵活,GUOTAIJUXINJIAZHIYOUSHIHUNHEA
262,000363,GTJXJZYSHHC,国泰聚信价值优势混合C,混合型-灵活,GUOTAIJUXINJIAZHIYOUSHIHUNHEC
263,000366,HTFTFTHBA,汇添富添富通货币A,货币型,HUITIANFUTIANFUTONGHUOBIA
264,000367,GTAKDQZFHHA,国泰安康定期支付混合A,混合型-偏债,GUOTAIANKANGDINGQIZHIFUHUNHEA
265,000368,HTFHS300AZZS,汇添富沪深300安中指数,指数型-股票,HUITIANFUHUSHEN300ANZHONGZHISHU
266,000369,GFQQYLBJQDII,广发全球医疗保健(QDII),QDII,GUANGFAQUANQIUYILIAOBAOJIANQDII
267,000370,GFQQYLBJMY,广发全球医疗保健美元,QDII,GUANGFAQUANQIUYILIAOBAOJIANMEIYUAN
268,000371,MSJYXJBHBA,民生加银现金宝货币A,货币型,MINSHENGJIAYINXIANJINBAOHUOBIA
269,000372,ZYHLBNDKZ,中银惠利半年定开债,债券型-长债,ZHONGYINHUILIBANNIANDINGKAIZHAI
270,000373,HAZZXFYYETFLJA,华安中证细分医药ETF联接A,指数型-股票,HUAANZHONGZHENGXIFENYIYAOETFLIANJIEA
271,000376,HAZZXFYYETFLJC,华安中证细分医药ETF联接C,指数型-股票,HUAANZHONGZHENGXIFENYIYAOETFLIANJIEC
272,000377,STMGSZZLZQA,上投摩根双债增利债券A,债券型-混合债,SHANGTOUMOGENSHUANGZHAIZENGLIZHAIQUANA
273,000378,STMGSZZLZQC,上投摩根双债增利债券C,债券型-混合债,SHANGTOUMOGENSHUANGZHAIZENGLIZHAIQUANC
274,000379,PARZLHBA,平安日增利货币A,货币型,PINGANRIZENGLIHUOBIA
275,000380,JSCCJYHBA,景顺长城景益货币A,货币型,JINGSHUNCHANGCHENGJINGYIHUOBIA
276,000381,JSCCJYHBB,景顺长城景益货币B,货币型,JINGSHUNCHANGCHENGJINGYIHUOBIB
277,000385,JSCCJYSLZQA,景顺长城景颐双利债券A,债券型-混合债,JINGSHUNCHANGCHENGJINGYISHUANGLIZHAIQUANA
278,000386,JSCCJYSLZQC,景顺长城景颐双利债券C,债券型-混合债,JINGSHUNCHANGCHENGJINGYISHUANGLIZHAIQUANC
279,000389,GFTTHHBA,广发天天红货币A,货币型,GUANGFATIANTIANHONGHUOBIA
280,000390,HSYSHYHH,华商优势行业混合,混合型-灵活,HUASHANGYOUSHIHANGYEHUNHE
281,000394,RTTYDRZQA,融通通源短融债券A,债券型-中短债,RONGTONGTONGYUANDUANRONGZHAIQUANA
282,000395,HTFAXZGZQA,汇添富安心中国债券A,债券型-长债,HUITIANFUANXINZHONGGUOZHAIQUANA
283,000396,HTFAXZGZQC,汇添富安心中国债券C,债券型-长债,HUITIANFUANXINZHONGGUOZHAIQUANC
284,000397,HTFQEBHB,汇添富全额宝货币,货币型,HUITIANFUQUANEBAOHUOBI
285,000398,HFLHPZHH,华富灵活配置混合,混合型-灵活,HUAFULINGHUOPEIZHIHUNHE
286,000402,GYCZZQA,工银纯债债券A,债券型-长债,GONGYINCHUNZHAIZHAIQUANA
287,000403,GYCZZQB,工银纯债债券B,债券型-长债,GONGYINCHUNZHAIZHAIQUANB
288,000404,YFDXXCZLHPZ,易方达新兴成长灵活配置,混合型-灵活,YIFANGDAXINXINGCHENGZHANGLINGHUOPEIZHI
289,000406,HTFSLZQZQA,汇添富双利增强债券A,债券型-混合债,HUITIANFUSHUANGLIZENGQIANGZHAIQUANA
290,000407,HTFSLZQZQC,汇添富双利增强债券C,债券型-混合债,HUITIANFUSHUANGLIZENGQIANGZHAIQUANC
291,000408,MSJYCZHHHA,民生加银城镇化混合A,混合型-灵活,MINSHENGJIAYINCHENGZHENHUAHUNHEA
292,000409,PHHBCYGP,鹏华环保产业股票,股票型,PENGHUAHUANBAOCHANYEGUPIAO
293,000410,YMFWLXHH,益民服务领先混合,混合型-灵活,YIMINFUWULINGXIANHUNHE
294,000411,JSCCYZCZGP,景顺长城优质成长股票,股票型,JINGSHUNCHANGCHENGYOUZHICHENGZHANGGUPIAO
295,000414,JSJDSYCLDQHH,嘉实绝对收益策略定期混合,混合型-平衡,JIASHIJUEDUISHOUYICELUEDINGQIHUNHE
296,000415,DMTL18GYDKZA,大摩添利18个月定开债A,债券型-长债,DAMOTIANLI18GEYUEDINGKAIZHAIA
297,000416,DMTL18GYDKZC,大摩添利18个月定开债C,债券型-长债,DAMOTIANLI18GEYUEDINGKAIZHAIC
298,000417,GLAXJXHH,国联安新精选混合,混合型-灵活,GUOLIANANXINJINGXUANHUNHE
299,000418,JSCCCZZXGP,景顺长城成长之星股票,股票型,JINGSHUNCHANGCHENGCHENGZHANGZHIXINGGUPIAO
300,000419,DMYZXJCZA,大摩优质信价纯债A,债券型-长债,DAMOYOUZHIXINJIACHUNZHAIA
301,000420,DMYZXJCZC,大摩优质信价纯债C,债券型-长债,DAMOYOUZHIXINJIACHUNZHAIC
302,000423,QHKYSJQDHHA,前海开源事件驱动混合A,混合型-灵活,QIANHAIKAIYUANSHIJIANQUDONGHUNHEA
303,000424,CSTLBHBA,长盛添利宝货币A,货币型,CHANGSHENGTIANLIBAOHUOBIA
304,000425,CSTLBHBB,长盛添利宝货币B,货币型,CHANGSHENGTIANLIBAOHUOBIB
305,000431,PHPPCCHH,鹏华品牌传承混合,混合型-灵活,PENGHUAPINPAICHUANCHENGHUNHE
306,000432,ZYYXQYHH,中银优秀企业混合,混合型-偏股,ZHONGYINYOUXIUQIYEHUNHE
307,000433,AXXFYXHHA,安信鑫发优选混合A,混合型-灵活,ANXINXINFAYOUXUANHUNHEA
308,000434,XHYNBHBA,新华壹诺宝货币A,货币型,XINHUAYINUOBAOHUOBIA
309,000436,YFDYHDKHHFQS,易方达裕惠定开混合发起式,混合型-偏债,YIFANGDAYUHUIDINGKAIHUNHEFAQISHI
310,000439,GJXYHB,国金鑫盈货币,货币型,GUOJINXINYINGHUOBI
311,000452,NFYYBJLHPZHH,南方医药保健灵活配置混合,混合型-灵活,NANFANGYIYAOBAOJIANLINGHUOPEIZHIHUNHE
312,000457,STMGHXCZGP,上投摩根核心成长股票,股票型,SHANGTOUMOGENHEXINCHENGZHANGGUPIAO
313,000458,YDLXHBHHFQS,英大领先回报混合发起式,混合型-偏股,YINGDALINGXIANHUIBAOHUNHEFAQISHI
314,000459,YDLXHBHHFQS,英大领先回报混合发起式(后端),混合型-偏股,YINGDALINGXIANHUIBAOHUNHEFAQISHI
315,000462,NYZTLDHH,农银主题轮动混合,混合型-灵活,NONGYINZHUTILUNDONGHUNHE
316,000463,HSSZFLZQA,华商双债丰利债券A,债券型-混合债,HUASHANGSHUANGZHAIFENGLIZHAIQUANA
317,000464,JSHQBHB,嘉实活期宝货币,货币型,JIASHIHUOQIBAOHUOBI
318,000465,JSCCXYXDQZFZQ,景顺长城鑫月薪定期支付债券,债券型-长债,JINGSHUNCHANGCHENGXINYUEXINDINGQIZHIFUZHAIQUAN
319,000466,RTTRZQAB,融通通瑞债券A/B,债券型-混合债,RONGTONGTONGRUIZHAIQUANAB
320,000469,FGMBQLYNQCZZQ,富国目标齐利一年期纯债债券,债券型-长债,FUGUOMUBIAOQILIYINIANQICHUNZHAIZHAIQUAN
321,000470,FGMBQLYNQCZZQ,富国目标齐利一年期纯债债券(后端),债券型-长债,FUGUOMUBIAOQILIYINIANQICHUNZHAIZHAIQUAN
322,000471,FGCZFZGP,富国城镇发展股票,股票型,FUGUOCHENGZHENFAZHANGUPIAO
323,000472,FGCZFZGP,富国城镇发展股票(后端),股票型,FUGUOCHENGZHENFAZHANGUPIAO
324,000475,GFTTLHBA,广发天天利货币A,货币型,GUANGFATIANTIANLIHUOBIA
325,000476,GFTTLHBB,广发天天利货币B,货币型,GUANGFATIANTIANLIHUOBIB
326,000477,GFZTLXHH,广发主题领先混合,混合型-灵活,GUANGFAZHUTILINGXIANHUNHE
327,000478,JXZZ500ZSZQA,建信中证500指数增强A,指数型-股票,JIANXINZHONGZHENG500ZHISHUZENGQIANGA
328,000480,DFHXDLHH,东方红新动力混合,混合型-灵活,DONGFANGHONGXINDONGLIHUNHE
329,000481,HSSZFLZQC,华商双债丰利债券C,债券型-混合债,HUASHANGSHUANGZHAIFENGLIZHAIQUANC
330,000483,XYHBA,鑫元货币A,货币型,XINYUANHUOBIA
331,000484,XYHBB,鑫元货币B,货币型,XINYUANHUOBIB
332,000487,JS3GYLCZQA,嘉实3个月理财债券A,,JIASHI3GEYUELICAIZHAIQUANA
333,000488,JS3GYLCZQE,嘉实3个月理财债券E,,JIASHI3GEYUELICAIZHAIQUANE
334,000489,GDSMHLCZA,光大岁末红利纯债A,债券型-长债,GUANGDASUIMOHONGLICHUNZHAIA
335,000490,GDSMHLCZC,光大岁末红利纯债C,债券型-长债,GUANGDASUIMOHONGLICHUNZHAIC
336,000493,NFXJTA,南方现金通A,货币型,NANFANGXIANJINTONGA
337,000494,NFXJTB,南方现金通B,货币型,NANFANGXIANJINTONGB
338,000495,NFXJTC,南方现金通C,货币型,NANFANGXIANJINTONGC
339,000496,CACYJXHHA,长安产业精选混合A,混合型-灵活,CHANGANCHANYEJINGXUANHUNHEA
340,000497,CTCZZQA,财通纯债债券A,债券型-长债,CAITONGCHUNZHAIZHAIQUANA
341,000501,HFHF18GYDKZC,华富恒富18个月定开债C,债券型-长债,HUAFUHENGFU18GEYUEDINGKAIZHAIC
342,000502,HFHF18GYDKZA,华富恒富18个月定开债A,债券型-长债,HUAFUHENGFU18GEYUEDINGKAIZHAIA
343,000503,ZXJTJHZDZA,中信建投景和中短债A,债券型-中短债,ZHONGXINJIANTOUJINGHEZHONGDUANZHAIA
344,000504,ZXJTJHZDZC,中信建投景和中短债C,债券型-中短债,ZHONGXINJIANTOUJINGHEZHONGDUANZHAIC
345,000505,GSABHBA,国寿安保货币A,货币型,GUOSHOUANBAOHUOBIA
346,000506,GSABHBB,国寿安保货币B,货币型,GUOSHOUANBAOHUOBIB
347,000507,TDHLHDHHA,泰达宏利宏达混合A,混合型-偏债,TAIDAHONGLIHONGDAHUNHEA
348,000508,TDHLHDHHB,泰达宏利宏达混合B,混合型-偏债,TAIDAHONGLIHONGDAHUNHEB
349,000509,GFQDZHBA,广发钱袋子货币A,货币型,GUANGFAQIANDAIZIHUOBIA
350,000511,GTGCQDLHPZHHA,国泰国策驱动灵活配置混合A,混合型-灵活,GUOTAIGUOCEQUDONGLINGHUOPEIZHIHUNHEA
351,000512,GTHS300ZSZQA,国泰沪深300指数增强A,指数型-股票,GUOTAIHUSHEN300ZHISHUZENGQIANGA
352,000513,FGGDZZHYGP,富国高端制造行业股票,股票型,FUGUOGAODUANZHIZAOHANGYEGUPIAO
353,000514,FGGDZZHYGP,富国高端制造行业股票(后端),股票型,FUGUOGAODUANZHIZAOHANGYEGUPIAO
354,000516,FGXLYNQDQKFZQXA,富国祥利一年期定期开放债券型A,债券型-长债,FUGUOXIANGLIYINIANQIDINGQIKAIFANGZHAIQUANXINGA
355,000517,FGXLYNQDQKFZQXC,富国祥利一年期定期开放债券型C,债券型-长债,FUGUOXIANGLIYINIANQIDINGQIKAIFANGZHAIQUANXINGC
356,000520,SYXXJZCZHH,上银新兴价值成长混合,混合型-灵活,SHANGYINXINXINGJIAZHICHENGZHANGHUNHE
357,000521,NARXDKZQ,诺安瑞鑫定开债券,债券型-长债,NUOANRUIXINDINGKAIZHAIQUAN
358,000522,HRYDXXCMKJHH,华润元大信息传媒科技混合,混合型-偏股,HUARUNYUANDAXINXICHUANMEIKEJIHUNHE
359,000523,GTRYYLBJHHA,国投瑞银医疗保健混合A,混合型-灵活,GUOTOURUIYINYILIAOBAOJIANHUNHEA
360,000524,STMGMSXQGP,上投摩根民生需求股票,股票型,SHANGTOUMOGENMINSHENGXUQIUGUPIAO
361,000526,GTNYLHPZHHA,国泰浓益灵活配置混合A,混合型-灵活,GUOTAINONGYILINGHUOPEIZHIHUNHEA
362,000527,NFXYXLHPZHHA,南方新优享灵活配置混合A,混合型-灵活,NANFANGXINYOUXIANGLINGHUOPEIZHIHUNHEA
363,000528,GYXJHBA,工银薪金货币A,货币型,GONGYINXINJINHUOBIA
364,000529,GFJZYSHHA,广发竞争优势混合A,混合型-灵活,GUANGFAJINGZHENGYOUSHIHUNHEA
365,000530,ZSFSWDZZHHA,招商丰盛稳定增长混合A,混合型-灵活,ZHAOSHANGFENGSHENGWENDINGZENGZHANGHUNHEA
366,000531,DWAEFHH,东吴阿尔法混合,混合型-灵活,DONGWUAERFAHUNHE
367,000532,JSCCYSQYHH,景顺长城优势企业混合,混合型-偏股,JINGSHUNCHANGCHENGYOUSHIQIYEHUNHE
368,000533,YYHBA,永赢货币A,货币型,YONGYINGHUOBIA
369,000534,CSGDZBHH,长盛高端装备混合,混合型-灵活,CHANGSHENGGAODUANZHUANGBEIHUNHE
370,000535,CSHTHGZBLHPZHH,长盛航天海工装备灵活配置混合,混合型-灵活,CHANGSHENGHANGTIANHAIGONGZHUANGBEILINGHUOPEIZHIHUNHE
371,000536,QHKYKZZZQ,前海开源可转债债券,债券型-可转债,QIANHAIKAIYUANKEZHUANZHAIZHAIQUAN
372,000538,NAYSHYHHA,诺安优势行业混合A,混合型-灵活,NUOANYOUSHIHANGYEHUNHEA
373,000539,ZYHQBHB,中银活期宝货币,货币型,ZHONGYINHUOQIBAOHUOBI
374,000540,GJJTTHBA,国金金腾通货币A,货币型,GUOJINJINTENGTONGHUOBIA
375,000541,HSCXCZHHFQS,华商创新成长混合发起式,混合型-灵活,HUASHANGCHUANGXINCHENGZHANGHUNHEFAQISHI
376,000542,SYHCBHBA,上银慧财宝货币A,货币型,SHANGYINHUICAIBAOHUOBIA
377,000543,SYHCBHBB,上银慧财宝货币B,货币型,SHANGYINHUICAIBAOHUOBIB
378,000545,ZYHXJZLLHPZHH,中邮核心竞争力灵活配置混合,混合型-灵活,ZHONGYOUHEXINJINGZHENGLILINGHUOPEIZHIHUNHE
379,000546,XYDKZA,兴业定开债A,债券型-长债,XINGYEDINGKAIZHAIA
380,000547,JXJKMSHH,建信健康民生混合,混合型-偏股,JIANXINJIANKANGMINSHENGHUNHE
381,000548,PHJCTHB,鹏华聚财通货币,货币型,PENGHUAJUCAITONGHUOBI
382,000549,HADGXJJGP,华安大国新经济股票,股票型,HUAANDAGUOXINJINGJIGUPIAO
383,000550,GFXDLHH,广发新动力混合,混合型-偏股,GUANGFAXINDONGLIHUNHE
384,000551,XCXFXFHH,信诚幸福消费混合,混合型-偏股,XINCHENGXINGFUXIAOFEIHUNHE
385,000552,ZJCZYNA,中加纯债一年A,债券型-长债,ZHONGJIACHUNZHAIYINIANA
386,000553,ZJCZYNC,中加纯债一年C,债券型-长债,ZHONGJIACHUNZHAIYINIANC
387,000554,ZGMLHPZHH,中国梦灵活配置混合,混合型-灵活,ZHONGGUOMENGLINGHUOPEIZHIHUNHE
388,000556,GTRYXJYLHPZHHA,国投瑞银新机遇灵活配置混合A,混合型-灵活,GUOTOURUIYINXINJIYULINGHUOPEIZHIHUNHEA
389,000557,GTRYXJYLHPZHHC,国投瑞银新机遇灵活配置混合C,混合型-灵活,GUOTOURUIYINXINJIYULINGHUOPEIZHIHUNHEC
390,000559,NATTBA,诺安天天宝A,货币型,NUOANTIANTIANBAOA
391,000560,NATTBE,诺安天天宝E,货币型,NUOANTIANTIANBAOE
392,000561,NFQYZQA,南方启元债券A,债券型-长债,NANFANGQIYUANZHAIQUANA
393,000562,NFQYZQC,南方启元债券C,债券型-长债,NANFANGQIYUANZHAIQUANC
394,000563,NFTLZQA,南方通利债券A,债券型-长债,NANFANGTONGLIZHAIQUANA
395,000564,NFTLZQC,南方通利债券C,债券型-长债,NANFANGTONGLIZHAIQUANC
396,000566,HTBRCXSJHHA,华泰柏瑞创新升级混合A,混合型-偏股,HUATAIBAIRUICHUANGXINSHENGJIHUNHEA
397,000567,GFJXLHHH,广发聚祥灵活混合,混合型-灵活,GUANGFAJUXIANGLINGHUOHUNHE
398,000569,PHZZBHB,鹏华增值宝货币,货币型,PENGHUAZENGZHIBAOHUOBI
399,000572,ZYDCLHHA,中银多策略混合A,混合型-灵活,ZHONGYINDUOCELUEHUNHEA
400,000573,THTLHH,天弘通利混合,混合型-灵活,TIANHONGTONGLIHUNHE
401,000574,BYXJZHHA,宝盈新价值混合A,混合型-灵活,BAOYINGXINJIAZHIHUNHEA
402,000575,XQTLBHB,兴全添利宝货币,货币型,XINGQUANTIANLIBAOHUOBI
403,000576,ZYHBA,中邮货币A,货币型,ZHONGYOUHUOBIA
404,000577,AXJZJXGP,安信价值精选股票,股票型,ANXINJIAZHIJINGXUANGUPIAO
405,000578,XYHXSYZQZQXFQSA,鑫元恒鑫收益增强债券型发起式A,债券型-混合债,XINYUANHENGXINSHOUYIZENGQIANGZHAIQUANXINGFAQISHIA
406,000579,XYHXSYZQZQXFQSC,鑫元恒鑫收益增强债券型发起式C,债券型-混合债,XINYUANHENGXINSHOUYIZENGQIANGZHAIQUANXINGFAQISHIC
407,000580,ZYHBB,中邮货币B,货币型,ZHONGYOUHUOBIB
408,000581,JSHQBHBA,嘉实活钱包货币A,货币型,JIASHIHUOQIANBAOHUOBIA
409,000583,JXJFDKZ,江信聚福定开债,债券型-长债,JIANGXINJUFUDINGKAIZHAI
410,000584,XHXYLHPZHH,新华鑫益灵活配置混合,混合型-灵活,XINHUAXINYILINGHUOPEIZHIHUNHE
411,000585,JSDCTLDQHH,嘉实对冲套利定期混合,混合型-平衡,JIASHIDUICHONGTAOLIDINGQIHUNHE
412,000586,JSCCZXCJXGP,景顺长城中小创精选股票,股票型,JINGSHUNCHANGCHENGZHONGXIAOCHUANGJINGXUANGUPIAO
413,000587,DCLHPZHH,大成灵活配置混合,混合型-灵活,DACHENGLINGHUOPEIZHIHUNHE
414,000588,ZSZQBHBA,招商招钱宝货币A,货币型,ZHAOSHANGZHAOQIANBAOHUOBIA
415,000589,GDYFSJHH,光大银发商机混合,混合型-偏股,GUANGDAYINFASHANGJIHUNHE
416,000590,HAXHLHH,华安新活力混合,混合型-灵活,HUAANXINHUOLIHUNHE
417,000591,ZYJKSHHH,中银健康生活混合,混合型-偏股,ZHONGYINJIANKANGSHENGHUOHUNHE
418,000592,JXGGHLGP,建信改革红利股票,股票型,JIANXINGAIGEHONGLIGUPIAO
419,000593,YFDBPXFPZSMYXHA,易方达标普消费品指数美元现汇A,QDII,YIFANGDABIAOPUXIAOFEIPINZHISHUMEIYUANXIANHUIA
420,000594,DMJQYXGP,大摩进取优选股票,股票型,DAMOJINQUYOUXUANGUPIAO
421,000595,JSTHHH,嘉实泰和混合,混合型-偏股,JIASHITAIHEHUNHE
422,000596,QHKYZZJGZSA,前海开源中证军工指数A,指数型-股票,QIANHAIKAIYUANZHONGZHENGJUNGONGZHISHUA
423,000597,ZHJJSYHH,中海积极收益混合,混合型-灵活,ZHONGHAIJIJISHOUYIHUNHE
424,000598,CSSTHJHH,长盛生态环境混合,混合型-灵活,CHANGSHENGSHENGTAIHUANJINGHUNHE
425,000599,XCXJBHB,信诚薪金宝货币,货币型,XINCHENGXINJINBAOHUOBI
426,000600,HTFHJBHB,汇添富和聚宝货币,货币型,HUITIANFUHEJUBAOHUOBI
427,000601,HBCXYXHH,华宝创新优选混合,混合型-偏股,HUABAOCHUANGXINYOUXUANHUNHE
428,000602,FGAYHBA,富国安益货币A,货币型,FUGUOANYIHUOBIA
429,000603,YFDCXQDLHPZHH,易方达创新驱动灵活配置混合,混合型-灵活,YIFANGDACHUANGXINQUDONGLINGHUOPEIZHIHUNHE
430,000604,YHDLBHBA,银华多利宝货币A,货币型,YINHUADUOLIBAOHUOBIA
431,000605,YHDLBHBB,银华多利宝货币B,货币型,YINHUADUOLIBAOHUOBIB
432,000606,THYXZQ,天弘优选债券,债券型-长债,TIANHONGYOUXUANZHAIQUAN
433,000607,ZSZQBHBB,招商招钱宝货币B,货币型,ZHAOSHANGZHAOQIANBAOHUOBIB
434,000609,HSXLHHH,华商新量化混合,混合型-灵活,HUASHANGXINLIANGHUAHUNHE
435,000612,HBSTZGHH,华宝生态中国混合,混合型-偏股,HUABAOSHENGTAIZHONGGUOHUNHE
436,000613,GSABHS300ETFLJ,国寿安保沪深300ETF联接,指数型-股票,GUOSHOUANBAOHUSHEN300ETFLIANJIE
437,000614,HADG30DAXLJ,华安德国30(DAX)联接,QDII,HUAANDEGUO30DAXLIANJIE
438,000615,CCGZBHBA,长城工资宝货币A,货币型,CHANGCHENGGONGZIBAOHUOBIA
439,000618,JSXJBHB,嘉实薪金宝货币,货币型,JIASHIXINJINBAOHUOBI
440,000619,DFHCYSJHH,东方红产业升级混合,混合型-灵活,DONGFANGHONGCHANYESHENGJIHUNHE
441,000620,YFDXJZLHBA,易方达现金增利货币A,货币型,YIFANGDAXIANJINZENGLIHUOBIA
442,000621,YFDXJZLHBB,易方达现金增利货币B,货币型,YIFANGDAXIANJINZENGLIHUOBIB
443,000625,NATTBB,诺安天天宝B,货币型,NUOANTIANTIANBAOB
444,000626,DCFCBHBA,大成丰财宝货币A,货币型,DACHENGFENGCAIBAOHUOBIA
445,000627,DCFCBHBB,大成丰财宝货币B,货币型,DACHENGFENGCAIBAOHUOBIB
446,000628,DCGXJSCYGPA,大成高新技术产业股票A,股票型,DACHENGGAOXINJISHUCHANYEGUPIAOA
447,000634,FGTSLHPZJJ,富国天盛灵活配置基金,混合型-灵活,FUGUOTIANSHENGLINGHUOPEIZHIJIJIN
448,000635,FGTSLHPZJJ,富国天盛灵活配置基金(后端),混合型-灵活,FUGUOTIANSHENGLINGHUOPEIZHIJIJIN
449,000638,FGFQBHBA,富国富钱包货币A,货币型,FUGUOFUQIANBAOHUOBIA
450,000639,BYXRHHA,宝盈祥瑞混合A,混合型-偏债,BAOYINGXIANGRUIHUNHEA
451,000640,NALCBHBA,诺安理财宝货币A,货币型,NUOANLICAIBAOHUOBIA
452,000641,NALCBHBB,诺安理财宝货币B,货币型,NUOANLICAIBAOHUOBIB
453,000642,HTFHBC,汇添富货币C,货币型,HUITIANFUHUOBIC
454,000644,ZSZJBHBA,招商招金宝货币A,货币型,ZHAOSHANGZHAOJINBAOHUOBIA
455,000645,HXXJBHB,华夏薪金宝货币,货币型,HUAXIAXINJINBAOHUOBI
456,000646,HRYDLHYXHHA,华润元大量化优选混合A,混合型-偏股,HUARUNYUANDALIANGHUAYOUXUANHUNHEA
457,000647,YFDCFKXHBA,易方达财富快线货币A,货币型,YIFANGDACAIFUKUAIXIANHUOBIA
458,000648,YFDCFKXHBB,易方达财富快线货币B,货币型,YIFANGDACAIFUKUAIXIANHUOBIB
459,000649,CCJXLHPZ,长城久鑫灵活配置,混合型-灵活,CHANGCHENGJIUXINLINGHUOPEIZHI
460,000650,HTFHBD,汇添富货币D,货币型,HUITIANFUHUOBID
461,000651,ZSZJBHBB,招商招金宝货币B,货币型,ZHAOSHANGZHAOJINBAOHUOBIB
462,000652,BSYLLHPZHH,博时裕隆灵活配置混合,混合型-灵活,BOSHIYULONGLINGHUOPEIZHIHUNHE
463,000654,HSXRCYHH,华商新锐产业混合,混合型-灵活,HUASHANGXINRUICHANYEHUNHE
464,000655,XYWLZQ,鑫元稳利债券,债券型-长债,XINYUANWENLIZHAIQUAN
465,000656,QHKYHS300ZS,前海开源沪深300指数,指数型-股票,QIANHAIKAIYUANHUSHEN300ZHISHU
466,000657,YHHQBHBA,银华活钱宝货币A,货币型,YINHUAHUOQIANBAOHUOBIA
467,000658,YHHQBHBB,银华活钱宝货币B,货币型,YINHUAHUOQIANBAOHUOBIB
468,000659,YHHQBHBC,银华活钱宝货币C,货币型,YINHUAHUOQIANBAOHUOBIC
469,000660,YHHQBHBD,银华活钱宝货币D,货币型,YINHUAHUOQIANBAOHUOBID
470,000661,YHHQBHBE,银华活钱宝货币E,货币型,YINHUAHUOQIANBAOHUOBIE
471,000662,YHHQBHBF,银华活钱宝货币F,货币型,YINHUAHUOQIANBAOHUOBIF
