,基金代码,基金简称,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
9453,001643,汇丰晋信智造先锋股票A,3.9389,3.9389,4.0489,4.0489,-0.11,-2.72,限大额,开放赎回,0.15%
9454,001644,汇丰晋信智造先锋股票C,3.8303,3.8303,3.9374,3.9374,-0.1071,-2.72,限大额,开放赎回,0.00%
9455,001537,中加改革红利混合,1.8014,1.8614,1.8518,1.9118,-0.0504,-2.72,开放申购,开放赎回,0.15%
9456,007142,嘉合稳健增长混合C,1.5975,1.5975,1.6422,1.6422,-0.0447,-2.72,开放申购,开放赎回,0.00%
9457,008050,同泰慧择混合A,1.4301,1.4301,1.4703,1.4703,-0.0402,-2.73,开放申购,开放赎回,0.15%
9458,004784,招商稳健优选股票,3.0525,3.0525,3.1386,3.1386,-0.0861,-2.74,开放申购,开放赎回,0.15%
9459,001675,江信同福A,1.5497,1.5882,1.5934,1.6319,-0.0437,-2.74,开放申购,开放赎回,0.05%
9460,001676,江信同福C,1.5058,1.5393,1.5483,1.5818,-0.0425,-2.74,开放申购,开放赎回,0.00%
9461,008051,同泰慧择混合C,1.4207,1.4207,1.4607,1.4607,-0.04,-2.74,开放申购,开放赎回,0.00%
9462,460002,华泰柏瑞积极成长混合A,1.3293,1.9266,1.3667,1.9640,-0.0374,-2.74,开放申购,开放赎回,0.15%
9463,001606,农银工业4.0混合,4.4271,4.4271,4.5525,4.5525,-0.1254,-2.75,开放申购,开放赎回,0.15%
9464,000462,农银主题轮动混合,2.8276,2.8276,2.9076,2.9076,-0.08,-2.75,开放申购,开放赎回,0.15%
9465,590003,中邮核心优势灵活配置混合,2.6150,2.7950,2.6890,2.8690,-0.0740,-2.75,开放申购,开放赎回,0.15%
9466,001457,华商新常态混合,1.3450,2.0880,1.3830,2.1260,-0.0380,-2.75,开放申购,开放赎回,0.15%
9467,009025,海富通科技创新混合A,1.3420,1.3420,1.3799,1.3799,-0.0379,-2.75,开放申购,开放赎回,0.15%
9468,009024,海富通科技创新混合C,1.3277,1.3277,1.3652,1.3652,-0.0375,-2.75,开放申购,开放赎回,0.00%
9469,519196,万家新兴蓝筹灵活配置混合,2.3096,2.8033,2.3752,2.8689,-0.0656,-2.76,开放申购,开放赎回,0.12%
9470,000592,建信改革红利股票,5.9710,5.9710,6.1410,6.1410,-0.17,-2.77,开放申购,开放赎回,0.15%
9471,000404,易方达新兴成长灵活配置,5.8560,5.8560,6.0230,6.0230,-0.1670,-2.77,开放申购,开放赎回,0.15%
9472,009368,浦银安盛价值精选混合A,1.4399,1.4399,1.4809,1.4809,-0.0410,-2.77,开放申购,开放赎回,0.15%
9473,009369,浦银安盛价值精选混合C,1.4344,1.4344,1.4752,1.4752,-0.0408,-2.77,开放申购,开放赎回,0.00%
9474,150103,银河银泰混合,1.1614,5.1124,1.1945,5.1455,-0.0331,-2.77,开放申购,开放赎回,1.00%
9475,160805,长盛同智优势混合(LOF),1.5102,3.1408,1.5534,3.1840,-0.0432,-2.78,开放申购,开放赎回,0.15%
9476,004931,华润元大价值优选C,1.0929,1.0929,1.1242,1.1242,-0.0313,-2.78,开放申购,开放赎回,0.00%
9477,004930,华润元大价值优选A,1.1014,1.1014,1.1330,1.1330,-0.0316,-2.79,开放申购,开放赎回,0.15%
9478,630001,华商领先企业混合,0.9509,2.4319,0.9782,2.4592,-0.0273,-2.79,开放申购,开放赎回,0.15%
9479,690011,民生加银积极成长混合发起式,3.3270,3.3270,3.4230,3.4230,-0.0960,-2.80,开放申购,开放赎回,0.15%
9480,519195,万家品质,2.5465,2.9645,2.6198,3.0378,-0.0733,-2.80,开放申购,开放赎回,0.15%
9481,001657,长安鑫富领先混合,3.01,3.01,3.0970,3.0970,-0.0870,-2.81,开放申购,开放赎回,0.15%
9482,002148,国寿安保稳惠混合,2.2096,2.5022,2.2735,2.5661,-0.0639,-2.81,开放申购,开放赎回,0.10%
9483,001576,国泰智能装备股票A,2.8270,2.8270,2.9090,2.9090,-0.0820,-2.82,开放申购,开放赎回,0.15%
9484,011322,国泰智能装备股票C,2.8210,2.8210,2.9030,2.9030,-0.0820,-2.82,开放申购,开放赎回,0.00%
9485,002289,华商改革创新股票,2.1416,2.1416,2.2037,2.2037,-0.0621,-2.82,开放申购,开放赎回,0.15%
9486,169201,浙商鼎盈事件驱动混合,2.0557,2.0557,2.1154,2.1154,-0.0597,-2.82,开放申购,开放赎回,0.15%
9487,000757,华富智慧城市灵活配置混合,1.6910,1.8910,1.74,1.94,-0.0490,-2.82,开放申购,开放赎回,0.15%
9488,000822,东海美丽中国灵活配置混合,1.6520,1.6520,1.70,1.70,-0.0480,-2.82,开放申购,开放赎回,0.15%
9489,004212,中融量化智选混合A,1.4237,1.4237,1.4650,1.4650,-0.0413,-2.82,开放申购,开放赎回,0.15%
9490,010001,创金合信研究精选股票A,1.1909,1.1909,1.2255,1.2255,-0.0346,-2.82,开放申购,开放赎回,0.15%
9491,000584,新华鑫益灵活配置混合,5.6478,5.6478,5.8125,5.8125,-0.1647,-2.83,开放申购,开放赎回,0.00%
9492,168002,国寿安保策略精选混合(LOF),2.5855,2.6355,2.6608,2.7108,-0.0753,-2.83,开放申购,开放赎回,0.15%
9493,009855,中加新兴成长混合A,1.4735,1.4735,1.5164,1.5164,-0.0429,-2.83,开放申购,开放赎回,0.12%
9494,009856,中加新兴成长混合C,1.4673,1.4673,1.51,1.51,-0.0427,-2.83,开放申购,开放赎回,0.00%
9495,004783,中融量化智选混合C,1.3859,1.3859,1.4262,1.4262,-0.0403,-2.83,开放申购,开放赎回,0.00%
9496,010002,创金合信研究精选股票C,1.1860,1.1860,1.2206,1.2206,-0.0346,-2.83,开放申购,开放赎回,0.00%
9497,001471,融通新能源灵活配置混合,2.5950,2.7150,2.6710,2.7910,-0.0760,-2.85,开放申购,开放赎回,0.15%
9498,164905,交银新能源指数(LOF),1.4694,1.5433,1.5125,1.5885,-0.0431,-2.85,开放申购,开放赎回,0.12%
9499,510081,长盛动态精选混合,1.8891,4.2562,1.9447,4.3118,-0.0556,-2.86,开放申购,开放赎回,0.15%
9500,002137,诺安利鑫灵活配置混合,1.7175,1.7175,1.7680,1.7680,-0.0505,-2.86,开放申购,开放赎回,0.15%
9501,011630,东财有色增强A,1.3196,1.3196,1.3584,1.3584,-0.0388,-2.86,开放申购,开放赎回,0.15%
9502,011631,东财有色增强C,1.3183,1.3183,1.3571,1.3571,-0.0388,-2.86,开放申购,开放赎回,0.00%
9503,460001,华泰柏瑞盛世中国混合,0.7753,4.4789,0.7981,4.5334,-0.0228,-2.86,开放申购,开放赎回,0.15%
9504,009651,海富通成长甄选混合A,1.5271,1.5271,1.5724,1.5724,-0.0453,-2.88,限大额,开放赎回,0.15%
